name,cancer type,pubmed id
LINC001152,hepatocellular carcinoma,31054511
LINC00152,cervical cancer,31114990
6p22lncRNAs,neuroblastoma,29533783
7SK,hepatocellular carcinoma,27894309
7SL,breast cancer,26718402
91H,colorectal cancer,30978169
91H,colorectal cancer,29410604
91H,breast cancer,27780718
91H,osteosarcoma,27555785
91H,colorectal cancer,25058480
A1BG-AS1,hepatocellular carcinoma,30556161
A2M-AS1,breast cancer,32352014
AA174084,gastric cancer,24986041
AATBC,nasopharyngeal cancer,32364663
AATBC,bladder cancer,25473900
AB007962,gastric cancer,30214597
AB019562,hypopharyngeal squamous cell carcinoma,26131061
AB019562,hepatocellular carcinoma,28534955
AB073614,cervical cancer,30964162
AB073614,epithelial ovarian cancer,30909184
AB073614,gastric cancer,31957827
AB073614,colorectal cancer,31934121
AB073614,non small cell lung cancer,31298333
AB073614,ovarian cancer,26299803
AB073614,glioma,27104549
AB073614,colorectal cancer,29439310
AB073614,colorectal cancer,28738539
AB073614,glioma,29029454
AB073614,glioma,27775800
AB074169,papillary thyroid cancer,29735546
AB074278,urothelial cancer,25165097
AB209371,ovarian cancer,31601255
AB209630,pancreatic cancer,31147453
AB209630,pancreatic ductal adenocarcinoma,29526843
AB209630,hepatocellular carcinoma,29042928
AB209630,hypopharyngeal squamous cell carcinoma,26895099
AB209630,hypopharyngeal squamous cell carcinoma,26131061
ABHD11-AS1,endometrial cancer,29799152
ABHD11-AS1,ovarian cancer,31568657
ABHD11-AS1,colorectal cancer,30429229
ABHD11-AS1,papillary thyroid cancer,31409775
ABHD11-AS1,papillary thyroid cancer,30657221
ABHD11-AS1,pancreatic cancer,30575903
ABHD11-AS1,colorectal cancer,30537177
ABHD11-AS1,pancreatic cancer,31333792
ABHD11-AS1,bladder cancer,28157695
ABHD11-AS1,gastric cancer,26280398
ABHD11-AS1,gastric cancer,24984296
ABHD11-AS1,ovarian cancer,28818073
ABHD11-AS1,endometrial cancer,29799152
AC002519.6,bladder cancer,27363013
AC003092.1,glioblastoma,30442884
AC004166.7,lung adenocarcinoma,25089627
AC005009.1,lung adenocarcinoma,30151992
AC005550.4,urothelial cancer,27448299
AC007128.1,esophageal cancer,30972633
AC007255.8,papillary thyroid cancer,28817151
AC007271.3,oral squamous cell carcinoma,31759044
AC007271.3,oral squamous cell carcinoma,29763905
AC007403.1,non small cell lung cancer,26393913
AC008392.1,non small cell lung cancer,29881308
AC008440.10,laryngeal squamous cell cancer,29775753
AC008440.10,laryngeal squamous cell cancer,29775753
AC008753.6,acute myeloid leukemia,31356197
AC009014.3,prostate cancer,29723810
AC009022.1,colorectal cancer,31637768
AC009411.1,lung adenocarcinoma,30151992
AC010761.9,gastric adenocarcinoma,29499718
AC012065.7,chronic lymphocytic leukemia,27777635
AC012640.1,bladder cancer,31892978
AC013264.2,non small cell lung cancer,25394782
AC016205.1,esophageal cancer,30972633
AC016405.3,glioblastoma,30888082
AC016683.6,lung cancer,29997452
AC016735.2,gastric cancer,29693709
AC017078.1,cervical cancer,30410863
AC020978,non small cell lung cancer,32308748
AC023115.3,glioblastoma,28499919
AC023824.1,lung adenocarcinoma,31558162
AC024022.1,papillary renal cell carcinoma,31516581
AC024560.2,cervical cancer,27035672
AC026166.2-001,laryngeal squamous cell cancer,25243407
AC026166.2-001,laryngeal squamous cell cancer,29463827
AC026904.1,lung cancer,32270919
AC026904.1,breast cancer,29774079
AC073284.4,breast cancer,31215650
AC073352.1,hepatocellular carcinoma,30916406
AC079776.2,lung adenocarcinoma,25089627
AC079949.2,esophageal cancer,30972633
AC087379.2,papillary renal cell carcinoma,31516581
AC090952.4.1,non small cell lung cancer,23741487
AC091729.7,sinonasal squamous cell carcinoma,32039035
AC092171.4,hepatocellular carcinoma,27499103
AC092803.2,esophageal cancer,30972633
AC093818.1,gastric cancer,31988283
AC093818.1,high grade ovarian serous cancer,29577163
AC093850.2,esophageal squamous cell carcinoma,29409459
AC100830.4,gastric cancer,29700972
AC103563.9,esophageal squamous cell carcinoma,27449043
AC104699.1,gastric cancer,26045391
AC105461.1,colorectal cancer,28496335
AC110491.1,bladder cancer,31308745
AC114812.8,bladder cancer,31706102
AC130710,gastric cancer,24969565
AC138128.1,Lung Cancer,31333777
AC138128.1,gastric cancer,25260808
AC156455.1,childhood acute lymphoblastic leukemia,27980230
ACTA2-AS1:4,liver cancer,30664183
ACTN4,renal cancer,29901101
ACTN4,clear cell renal cell carcinoma,18348187
acv3UTR,gastric cancer,32066878
ACVR2B-AS1,liver cancer,31886217
ADAMTS9-AS1,prostate cancer,32153626
ADAMTS9-AS1,bladder cancer,31308745
ADAMTS9-AS2,gastric cancer,32160650
ADAMTS9-AS2,tongue squamous cell carcinoma,30970517
ADAMTS9-AS2,breast cancer,30959550
ADAMTS9-AS2,breast cancer,30840279
ADAMTS9-AS2,gastric cancer,30089248
ADAMTS9-AS2,ovarian cancer,30268751
ADAMTS9-AS2,salivary adenoid cystic carcinoma,30217729
ADAMTS9-AS2,clear cell renal cell carcinoma,31400752
ADAMTS9-AS2,glioblastoma,31632968
ADAMTS9-AS2,rectal adenocarcinoma,29512732
ADAMTS9-AS2,colorectal cancer,27596298
ADAMTS9-AS2,non small cell lung cancer,25590602
ADAMTS9-AS2,glioma,24833086
ADARB2-AS1,Intraductal Papillary Mucinous Neoplasms of the Pancreas,28874676
ADPGK-AS1,colorectal cancer,32196589
ADPGK-AS1,gastric cancer,30944080
ADPGK-AS1,breast cancer,31264061
ADPGK-AS1,pancreatic cancer,29667486
AF070632,hepatocellular carcinoma,26540467
AF075041,pancreatic cancer,26045769
AF086071,neuroblastoma,24555823
AF086261,ovarian cancer,30132558
AF086415,nasopharyngeal cancer,24379026
AF087976,ovarian cancer,30132558
AF088004,acute myeloid leukemia,26573779
AF113014,hepatocellular carcinoma,28542387
AF116616,osteosarcoma,23466354
AF118081,lung cancer,25050996
AF119895,hepatocellular carcinoma,29274323
AF186192.1,lung adenocarcinoma,31558162
AF251187,breast cancer,28003470
AF268386,malignant pleural mesothelioma,23976967
AF339813,pancreatic cancer,26045769
AFAP1-AS1,gastric cancer,32051698
AFAP1-AS1,gastric cancer,32016968
AFAP1-AS1,breast cancer,29974352
AFAP1-AS1,laryngeal cancer,29971915
AFAP1-AS1,non small cell lung cancer,29963138
AFAP1-AS1,colorectal cancer,29888110
AFAP1-AS1,gastric cancer,29805596
AFAP1-AS1,non small cell lung cancer,29793547
AFAP1-AS1,hepatocarcinoma,32280542
AFAP1-AS1,hepatocarcinoma,32280542
AFAP1-AS1,gastric cancer,31785996
AFAP1-AS1,clear cell renal cell carcinoma,30832752
AFAP1-AS1,Cervical Cancer,30816545
AFAP1-AS1,oral squamous cell carcinoma,31875436
AFAP1-AS1,non small cell lung cancer,31696057
AFAP1-AS1,prostate cancer,31669642
AFAP1-AS1,colorectal cancer,31132513
AFAP1-AS1,gastric cancer,31086663
AFAP1-AS1,prostate cancer,31081081
AFAP1-AS1,non small cell lung cancer,31069893
AFAP1-AS1,osteosarcoma,31002124
AFAP1-AS1,glioma,30178845
AFAP1-AS1,nasopharyngeal cancer,30326930
AFAP1-AS1,non small cell lung cancer,30293090
AFAP1-AS1,non small cell lung cancer,30278439
AFAP1-AS1,pancreatic cancer,30206930
AFAP1-AS1,gastric cancer,31452798
AFAP1-AS1,osteosarcoma,31443665
AFAP1-AS1,colon cancer,30588252
AFAP1-AS1,triple negative breast cancer,30505272
AFAP1-AS1,breast cancer,29439313
AFAP1-AS1,thyroid cancer,29331858
AFAP1-AS1,non small cell lung cancer,29080690
AFAP1-AS1,retinoblastoma,29654169
AFAP1-AS1,tongue squamous cell carcinoma,29310682
AFAP1-AS1,nasopharyngeal cancer,28467811
AFAP1-AS1,cholangiocarcinoma,28535506
AFAP1-AS1,gallbladder cancer,27810781
AFAP1-AS1,hepatocellular carcinoma,26892468
AFAP1-AS1,lung squamous cell carcinoma,27797003
AFAP1-AS1,ovarian cancer,28051261
AFAP1-AS1,pancreatic ductal adenocarcinoma,25925763
AFAP1-AS1,lung cancer,26245991
AFAP1-AS1,non small cell lung cancer,26463625
AFAP1-AS1,esophageal adenocarcinoma,23333711
AFAP1-AS1,lung adenocarcinoma,28670387
AFAP1-AS1,colorectal cancer,27596298
AFAP1-AS1,lung adenocarcinoma,27826625
AFAP1-AS1,gastric cancer,28975981
AFAP1-AS1,cholangiocarcinoma,28938565
AFAP1-AS1,lung cancer,29212176
AFAP1-AS1,gastric cancer,28451917
AFAP1-AS1,pancreatic ductal adenocarcinoma,27628540
AFAP1-AS1,esophageal squamous cell carcinoma,27577754
AFAP1-AS1,esophageal squamous cell carcinoma,26756568
AFAP1-AS1,hepatocellular carcinoma,26803513
AFAP1-AS1,nasopharyngeal cancer,26246469
AFAP1-AS1,colorectal cancer,27261589
AFAP1-AS1,colorectal cancer,27578191
AFAP1-AS1,lung adenocarcinoma,27797003
AFAP1-AS1,non small cell lung cancer,29793547
AFAP1-AS1,gastric cancer,29805596
AFAP1-AS1,breast cancer,29974352
AFAP1-AS1,laryngeal squamous cell cancer,29971915
AFAP1-AS1,non small cell lung cancer,29963138
AFAP1-AS1,colorectal cancer,29888110
AFDN-DT,gastric cancer,31981317
AGAP2-AS1,non small cell lung cancer,32015683
AGAP2-AS1,colorectal cancer,32202509
AGAP2-AS1,esophageal cancer,32199129
AGAP2-AS1,breast cancer,30910994
AGAP2-AS1,pancreatic cancer,30814490
AGAP2-AS1,glioblastoma,31186379
AGAP2-AS1,hepatocellular carcinoma,31088485
AGAP2-AS1,breast cancer,30157918
AGAP2-AS1,glioma,30684575
AGAP2-AS1,glioblastoma,30525219
AGAP2-AS1,ovarian cancer,31233485
AGAP2-AS1,glioma,27764782
AGAP2-AS1,gastric cancer,28209205
AGAP2-AS1,non small cell lung cancer,28617550
AGAP2-AS1,non small cell lung cancer,27195672
AGPG,esophageal squamous cell carcinoma,32198345
aHIF,epithelial ovarian cancer,31571921
aHIF,glioblastoma multiforme,30606477
aHIF,epithelial ovarian cancer,30588022
aHIF,hepatocellular carcinoma,27894309
AI364715,gastric cancer,25971582
AJ003147.8,lung adenocarcinoma,31558162
AK001058,colorectal cancer,31632580
AK001058,colorectal cancer,31632555
AK001058,gastric cancer,28423525
AK001091,gastric cancer,27460075
AK001796,hepatocellular carcinoma,30915744
AK001796,non small cell lung cancer,29067469
AK001796,esophageal squamous cell carcinoma,29568233
AK001796,lung cancer,25888808
AK002107,hepatocellular carcinoma,30943320
AK021443,hepatocellular carcinoma,30070318
AK021443,hepatocellular carcinoma,26540467
AK021443,hepatocellular carcinoma,29638164
AK021444,colorectal cancer,26463626
AK021444,colorectal cancer,25009386
AK021570,nasopharyngeal cancer,27886062
AK021804,bladder cancer,27363013
AK022029,pancreatic cancer,26045769
AK022159,pancreatic cancer,26045769
AK022798,gastric cancer,25763542
AK022971,gastric cancer,24819045
AK023096,uterine leiomyoma,25268745
AK023391,gastric cancer,29282102
AK023507,nasopharyngeal cancer,27886062
AK023948,hepatocellular carcinoma,29042961
AK023948,papillary thyroid cancer,19147577
AK024094,breast cancer,32141560
AK024118,neuroblastoma,24555823
AK024171,gastric cancer,27460075
AK024556,prostate cancer,25513185
AK024584,acute myeloid leukemia,26573779
AK024898,breast cancer,28003470
AK025180,colorectal cancer,26463626
AK025743,breast cancer,28003470
AK027145,gastric cancer,28043146
AK027193,acute myeloid leukemia,26573779
AK027294,non small cell lung cancer,30779078
AK027294,nasopharyngeal cancer,31589096
AK027294,gastric cancer,31298327
AK027294,colorectal cancer,26820130
AK054908,malignant pleural mesothelioma,23976967
AK055007,hepatocellular carcinoma,21769904
AK055347,osteosarcoma,28123573
AK055628,hepatocellular carcinoma,27729273
AK056098,nasopharyngeal cancer,24379026
AK056988,hepatocellular carcinoma,25025236
AK057054,gastric cancer,24819045
AK057709,breast cancer,28003470
AK090603,breast cancer,28003470
AK093407,osteosarcoma,28469961
AK093543,hepatocellular carcinoma,24876753
AK093735,gastric cancer,27460075
AK09398,small cell lung cancer,27866518
AK094838,osteosarcoma,23466354
AK094982,acute myeloid leukemia,26573779
AK095147,nasopharyngeal cancer,24379026
AK096174,gastric cancer,29717028
AK096262,neuroblastoma,24555823
AK096725,renal cell carcinoma,24905231
AK096780,breast cancer,28003470
AK097500,osteosarcoma,23466354
AK123072,gastric cancer,26884908
AK123263,non small cell lung cancer,23741487
AK123324,ovarian cancer,30132558
AK123408,breast cancer,28003470
AK123657,colorectal cancer,24809982
AK123765,acute myeloid leukemia,26573779
AK123790,hepatocellular carcinoma,21769904
AK124454,breast cancer,26921339
AK124936,acute myeloid leukemia,26573779
AK124939,glioblastoma,23046790
AK126698,non small cell lung cancer,23741487
AK126698,non small cell lung cancer,27445486
AK127565,breast cancer,28003470
AK129685,malignant pleural mesothelioma,23976967
AK130076,high grade ovarian serous cancer,29577163
AK130275,malignant pleural mesothelioma,23976967
AK130977,malignant pleural mesothelioma,23976967
AK294004,nasopharyngeal cancer,24379026
AK307796,colorectal cancer,26463626
AK307796,colorectal cancer,25009386
AK311218,non small cell lung cancer,27322209
AKR7L,gastric cancer,25765901
AL121899.1,oesophageal squamous cell carcinoma,32164040
AL161431.1,endometrial cancer,32196580
AL163952.1,hepatocellular carcinoma,30916406
AL163952.1,tongue squamous cell carcinoma,30755833
AL352984.1,papillary renal cell carcinoma,31516581
AL359062,nasopharyngeal cancer,28467811
AL359062,nasopharyngeal cancer,26448942
AL359878.1,hepatocellular carcinoma,30916406
AL365371,osteosarcoma,23466354
AL389956,pancreatic cancer,26045769
AL391421.1-3:1,hepatocellular carcinoma,29981417
AL499627.1,papillary renal cell carcinoma,31516581
AL592284.1,cervical cancer,30134241
AL832444,breast cancer,28003470
AL832916,ovarian cancer,30132558
AL833160,breast cancer,28003470
AL928768.3,bladder cancer,27363013
ANAC,breast cancer,28978036
ANCR,non small cell lung cancer,32096155
ANCR,gastric cancer,31894487
ANCR,hepatocellular carcinoma,31868085
ANCR,non small cell lung cancer,30154397
ANCR,nasopharyngeal cancer,30568463
ANCR,glioma,29476310
ANCR,breast cancer,27716745
ANCR,colorectal cancer,27983539
ANCR,osteosarcoma,28679390
ANRASSF1,breast cancer,31062660
ANRASSF1,prostate cancer,23990798
ANRASSF1,cervical cancer,23990798
ANRASSF1,breast cancer,23990798
ANRASSF1,breast cancer,26409453
ANRIL,bladder cancer,32231490
ANRIL,osteosarcoma,30777616
ANRIL,laryngeal squamous cell cancer,31960744
ANRIL,acute myeloid leukemia,31830533
ANRIL,hepatocellular carcinoma,31679275
ANRIL,hepatocellular carcinoma,31670868
ANRIL,laryngeal squamous cell cancer,31667207
ANRIL,ovarian cancer,31189742
ANRIL,retinoblastoma,31184221
ANRIL,hepatocellular carcinoma,31609763
ANRIL,breast cancer,31572679
ANRIL,gastric cancer,30156609
ANRIL,glioblastoma,30038703
ANRIL,gastric cancer,30431129
ANRIL,retinoblastoma,30355646
ANRIL,colorectal cancer,30279206
ANRIL,adult T cell leukemia,30258009
ANRIL,hepatocellular carcinoma,30249208
ANRIL,glioma,30197521
ANRIL,papillary thyroid cancer,30703346
ANRIL,esophageal cancer,30610814
ANRIL,pancreatic cancer,30604909
ANRIL,head and neck squamous cell carcinoma,30555745
ANRIL,oral squamous cell carcinoma,31364119
ANRIL,gastric cancer,31242038
ANRIL,Intraductal Papillary Mucinous Neoplasms of the Pancreas,28874676
ANRIL,neurofibromatosis type 1,22034633
ANRIL,medulloblastoma,28513871
ANRIL,pancreatic cancer,28344092
ANRIL,oral squamous cancer,29176691
ANRIL,ovarian cancer,27095571
ANRIL,glioblastoma,27306825
ANRIL,lung cancer,25964559
ANRIL,laryngeal squamous cell cancer,25257554
ANRIL,colon cancer,23416462
ANRIL,acute myeloid leukemia,18185590
ANRIL,oral cancer,29635126
ANRIL,triple negative breast cancer,28961506
ANRIL,glioma,29057547
ANRIL,renal cell carcinoma,28251886
ANRIL,lung adenocarcinoma,28402932
ANRIL,gallbladder cancer,26812694
ANRIL,thyroid cancer,27507052
ANRIL,bladder cancer,26800519
ANRIL,bladder cancer,26449463
ANRIL,serous ovarian cancer,25845387
ANRIL,esophageal squamous cell carcinoma,24747824
ANRIL,acute lymphoblastic leukemia,21414664
ANRIL,prostate cancer,20541999
ANRIL,glioma,20386740
ANRIL,acute lymphoblastic leukemia,18185590
ANRIL,melanoma,28653984
ANRIL,colorectal cancer,26708220
ANRIL,melanoma,27461581
ANRIL,colorectal cancer,27286457
ANRIL,melanoma,20386740
ANRIL,nasopharyngeal cancer,29463902
ANRIL,prostate cancer,29278879
ANRIL,breast cancer,28248879
ANRIL,osteosarcoma,29201225
ANRIL,breast cancer,26835415
ANRIL,cervical cancer,26408699
ANRIL,osteosarcoma,26408699
ANRIL,cervical cancer,22487937
ANRIL,breast cancer,17440112
ANRIL,non small cell lung cancer,29504701
ANRIL,non small cell lung cancer,26408699
ANRIL,gastric cancer,24810364
ANRIL,colorectal cancer,27314206
ANRIL,gastric cancer,27027260
ANRIL,hepatocellular carcinoma,27894309
ANRIL,gastric cancer,27121324
ANRIL,nasopharyngeal cancer,28117929
ANRIL,nasopharyngeal cancer,28402230
ANRIL,cervical cancer,28550682
ANRIL,osteosarcoma,29520337
ANRIL,cervical cancer,27899255
ANRIL,breast cancer,26409453
ANRIL,nasopharyngeal cancer,27557514
ANRIL,osteosarcoma,27688736
ANRIL,non small cell lung cancer,27307748
ANRIL,non small cell lung cancer,25889788
ANRIL,non small cell lung cancer,25504755
ANRIL,hepatocellular carcinoma,29127494
ANRIL,hepatocellular carcinoma,29029488
ANRIL,hepatocellular carcinoma,26045820
ANRIL,hepatocellular carcinoma,25966845
ANRIL,hepatocellular carcinoma,27391317
ANRIL,bladder cancer,29861427
anti-NOS2A,glioblastoma,18820242
anti-NOS2A,meningioma,18820242
AOC4P,ovarian cancer,32334623
AOC4P,non small cell lung cancer,32325081
AOC4P,gastric cancer,31696472
AOC4P,gastrointestinal stromal tumor,30288061
AOC4P,gastric cancer,28042329
AOC4P,hepatocellular carcinoma,26160837
AP000221.1,pancreatic cancer,25755691
AP000439.3,breast cancer,29048636
AP000459,gastric cancer,26718650
AP000769.1,lung squamous cell carcinoma,29512696
AP001439.2,gastric cancer,26045391
AP001626.1,gastric cancer,29693709
AP002478.1,hepatocellular carcinoma,30916406
AP002754.2,colorectal cancer,32127356
AP003555.2,colorectal cancer,31824849
AP006284.1,colorectal cancer,31824849
AP5M1,gastric cancer,29719612
APOC1P1,clear cell renal cell carcinoma,31871500
APTR,osteosarcoma,30317613
APTR,glioblastoma,24748121
ARA,breast cancer,30367404
ARAP1-AS1,gastric cancer,32141550
ARAP1-AS1,breast cancer,32110804
ARAP1-AS1,cervical cancer,31953923
ARAP1-AS1,colorectal cancer,31173500
ARAP1-AS1,bladder cancer,30404578
ARHGAP22-IT1,lung adenocarcinoma,30151992
ARHGAP27P1,gastric cancer,31665700
uc010rul,nasopharyngeal cancer,29936709
ARHGAP5-AS1,gastric cancer,31097692
ARlnc1,prostate cancer,29808028
ARlnc1,prostate cancer,29808028
ARNILA,triple negative breast cancer,29844570
ARNILA,triple negative breast cancer,29844570
ASAP1-IT1,epithelial ovarian cancer,27667152
ASAP1-IT1,non small cell lung cancer,29364481
ASAP1-IT1,cholangiocarcinoma,29653361
ASAP1-IT1,bladder cancer,28895409
ASB16-AS1,cervical cancer,32058219
ASB16-AS1,osteosarcoma,32214826
ASB16-AS1,glioma,30949502
ASB16-AS1,hepatocellular carcinoma,31807066
ASB16-AS1?,non small cell lung cancer,32141556
ASBEL,osteosarcoma,29323740
ASBEL,breast cancer,28552529
ASHGA5P014130,pancreatic ductal adenocarcinoma,26676849
ASHGA5P014632,pancreatic ductal adenocarcinoma,26676849
ASHGA5P016768,pancreatic ductal adenocarcinoma,26676849
ASHGA5P017734,pancreatic ductal adenocarcinoma,26676849
ASHGA5P018902,pancreatic ductal adenocarcinoma,26676849
ASHGA5P022276,pancreatic ductal adenocarcinoma,26676849
ASHGA5P028603,pancreatic ductal adenocarcinoma,26676849
ASHGA5P029774,pancreatic ductal adenocarcinoma,26676849
ASHGA5P032173,pancreatic ductal adenocarcinoma,26676849
ASHGA5P036884,pancreatic ductal adenocarcinoma,26676849
ASHGA5P039672,pancreatic ductal adenocarcinoma,26676849
ASHGA5P043753,pancreatic ductal adenocarcinoma,26676849
ASHGA5P044524,pancreatic ductal adenocarcinoma,26676849
ASHGA5P051732,pancreatic ductal adenocarcinoma,26676849
ASHGA5P055771,pancreatic ductal adenocarcinoma,26676849
ASK00420,cervical cancer,25007342
ASlnc00339,osteosarcoma,23466354
ASlnc02525,hepatocellular carcinoma,28713968
ASlnc04080,endometrial cancer,25695231
ASlnc07322,colon cancer,31739210
ASMTL-AS1,papillary thyroid cancer,31953163
ASO1937,astrocytoma,26252651
ASO3690,lung adenocarcinoma,25061321
AS-RBM15,leukemia,27118388
ASXL3,lung adenocarcinoma,31558162
AT102202,hepatoblastoma,25563320
lncRNA-ATB,non small cell lung cancer,32092085
lncRNA-ATB,malignant melanoma,29956757
lncRNA-ATB,glioma,30972632
lncRNA-ATB,cervical cancer,30908730
lncRNA-ATB,hepatocellular carcinoma,31558875
lncRNA-ATB,lung squamous cell carcinoma,31934791
lncRNA-ATB,glioma,31140621
lncRNA-ATB,cholangiocarcinoma,31571907
lncRNA-ATB,lung cancer,30128006
lncRNA-ATB,renal cell carcinoma,30536843
lncRNA-ATB,colorectal cancer,31222825
ATF3-008,intrahepatic cholangiocarcinoma,28401021
ATXN8OS,breast cancer,31173245
AURKAPS1,hepatocellular carcinoma,31873123
AWPPH,glioma,31788066
AWPPH,non small cell lung cancer,30953582
AWPPH,non small cell lung cancer,30942396
AWPPH,ovarian cancer,30896797
AWPPH,glioma,31807187
AWPPH,colorectal adenocarcinoma,31611981
AWPPH,osteosarcoma,31092328
AWPPH,triple negative breast cancer,31033015
AWPPH,triple negative breast cancer,30333256
AWPPH,colon cancer,31423271
AWPPH,gastric cancer,31489578
AWPPH,bladder cancer,29231261
AWPPH,hepatocellular carcinoma,28428004
AX746718,malignant pleural mesothelioma,23976967
AX747207,breast cancer,29749447
AX748340,cervical cancer,26054679
AX800134,hepatocellular carcinoma,29789998
AX800134,hepatocellular carcinoma,29789998
AY,hepatocellular carcinoma,31285770
AY129027,hepatocellular carcinoma,21769904
B3GALT5-AS1,colorectal cancer,32207329
B3GALT5-AS1,colon cancer,30530918
B3GALT5-AS1,gastric cancer,31338903
B4GALT1-AS1,colon cancer,30912138
BA318C17.1,colorectal cancer,16110499
BACE1-AS,ovarian cancer,26783004
BACE1-AS,colon cancer,25078450
BAIAP2-AS1,hepatocellular carcinoma,27285756
BALR-2,B cell acute lymphoblastic leukemia,25681502
BALR-2,B-lymphoblastic leukemia,25681502
BALR-6,B-lymphoblastic leukemia,26694754
BAN,gastric cancer,31951095
BANCR,thyroid cancer,29917164
BANCR,pancreatic cancer,31769353
BANCR,non small cell lung cancer,30980423
BANCR,non small cell lung cancer,31114383
BANCR,colorectal cancer,30144787
BANCR,clear cell renal cell carcinoma,30200918
BANCR,retinoblastoma,31482398
BANCR,oral squamous cell carcinoma,31654433
BANCR,gastric adenocarcinoma,26248136
BANCR,thyroid cancer,29552216
BANCR,bladder cancer,27514530
BANCR,endometrial cancer,27898420
BANCR,esophageal squamous cell carcinoma,27470379
BANCR,osteosarcoma,25893737
BANCR,lung cancer,25661343
BANCR,retinoblastoma,25894373
BANCR,malignant melanoma,24967732
BANCR,non small cell lung cancer,24655544
BANCR,melanoma,22581800
BANCR,breast cancer,29565494
BANCR,gastric cancer,29483646
BANCR,hepatocellular carcinoma,29085476
BANCR,gastric cancer,26054683
BANCR,hepatocellular carcinoma,29725471
BANCR,melanoma,29075789
BANCR,osteosarcoma,27051014
BANCR,colorectal cancer,28969673
BANCR,colorectal cancer,27591862
BANCR,colorectal cancer,26296467
BANCR,colorectal cancer,25013510
BANCR,gastric cancer,28042329
BANCR,hepatocellular carcinoma,26758762
BANCR,papillary thyroid cancer,29675113
BANCR,papillary thyroid cancer,27462868
BANCR,papillary thyroid cancer,26323637
BANCR,papillary thyroid cancer,25289082
BANCR,colorectal cancer,25928067
BANCR,breast cancer,29805676
BANCR,papillary thyroid cancer,29917164
BART,nasopharyngeal cancer,31696060
BBOX1-AS1,colorectal cancer,31984680
BC002350,osteosarcoma,23466354
BC002811,astrocytoma,26252651
BC003519,gastric cancer,27460075
BC005232,acute myeloid leukemia,26573779
BC005927,gastric cancer,29383777
BC008363,pancreatic ductal adenocarcinoma,25200694
BC011663,gastric cancer,24819045
BC014579,hepatocellular carcinoma,26540467
BC015134,gastric cancer,25769450
BC016787,breast cancer,28003470
BC016831,triple negative breast cancer,26910840
BC017743,hepatocellular carcinoma,27894309
BC017743,hepatocellular carcinoma,25025236
BC017993,neuroblastoma,24555823
BC0209135,colorectal cancer,29949151
BC023629,pancreatic cancer,26045769
BC029135,clear cell renal cell carcinoma,22879955
BC029135,colorectal cancer,29949151
BC030713,neuroblastoma,24555823
BC031319,acute myeloid leukemia,26573779
BC032020,pancreatic ductal adenocarcinoma,29532883
BC032469,gastric cancer,26549025
BC032469,esophageal squamous cell carcinoma,27726103
BC032913,colorectal cancer,28918047
BC036599,breast cancer,28003470
BC038366,breast cancer,28003470
BC038580,breast cancer,28003470
BC039678,breast cancer,28003470
BC040572,breast cancer,28003470
BC040587,gastric cancer,25765901
BC040587,breast cancer,25435812
BC040587,osteosarcoma,20048075
BC041455,breast cancer,28003470
BC041623,nasopharyngeal cancer,27886062
BC041938,neuroblastoma,24555823
BC041954,ovarian cancer,30132558
BC043430,hepatocellular carcinoma,27894309
BC047917,renal cell carcinoma,24905231
BC050642,osteosarcoma,31397185
BC050642,osteosarcoma,23466354
BC064338,neuroblastoma,24555823
BC067277,neuroblastoma,24555823
BC070168,renal cell carcinoma,24905231
BC087858,non small cell lung cancer,25482516
BC087858,non small cell lung cancer,27409677
BC091525,osteosarcoma,23466354
BC200,non small cell lung cancer,30779077
BC200,hepatocellular carcinoma,31894342
BC200,esophageal cancer,31152845
BC200,triple negative breast cancer,31646972
BC200,esophageal squamous cell carcinoma,27143917
BC200,non small cell lung cancer,25482516
BC200,cervical cancer,9422992
BC200,esophageal cancer,9422992
BC200,parotid cancer,9422992
BC200,tongue cancer,9422992
BC200,glioma,25645334
BC200,colon cancer,29625226
BC200,lung cancer,28651607
BC200,glioma,28651607
BC200,ovarian cancer,26893717
BC200,lung cancer,9422992
BC200,ovarian cancer,9422992
BC200,breast cancer,28651607
BC200,breast cancer,27277684
BC200,breast cancer,15240511
BC200,breast cancer,9422992
BC200?,hepatocellular carcinoma,30400024
BCAR4,cervical cancer,29937186
BCAR4,gastric cancer,32329841
BCAR4,liver cancer,32319544
BCAR4,bladder cancer,32273720
BCAR4,colorectal cancer,30962766
BCAR4,bladder cancer,31894304
BCAR4,glioma,31849498
BCAR4,prostate cancer,30513511
BCAR4,gastric cancer,29028095
BCAR4,colorectal cancer,27596298
BCAR4,chondrosarcoma,28399646
BCAR4,osteosarcoma,27460090
BCAR4,osteosarcoma,27874956
BCAR4,non small cell lung cancer,28077810
BCAR4,non small cell lung cancer,28537678
BCAR4,breast cancer,22892392
BCAR4,breast cancer,21506106
BCAR4,breast cancer,20859285
BCAR4,breast cancer,16778085
BCAR4,non small cell lung cancer,29615150
BCAR4,breast cancer,26550436
BCAR4,breast cancer,26317614
BCAR4,cervical cancer,29937186
lncRNA-BCHE,breast cancer,29948648
BCLIN25,breast cancer,31801944
BCYRN1,glioma,32104095
BCYRN1,colorectal cancer,31773686
BCYRN1,hepatocellular carcinoma,31920461
BCYRN1,colorectal cancer,30114690
BCYRN1,non small cell lung cancer,30486938
BCYRN1,hepatocellular carcinoma,31339046
